Unidade da Federação;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020; Total
11 Rondônia;671022;670070;681503;647582;435345;427785;487788;664623;692060;619782;490277;464224;472702;427147;7851910
12 Acre;386861;379638;390602;375827;257132;240469;240916;254867;294119;259444;226433;233104;257688;194545;3991645
13 Amazonas;1704003;1647149;1703841;1658753;1090240;1149204;1173912;1546920;1721877;1404249;1199874;1212871;1309691;1067561;19590145
14 Roraima;218408;203350;225293;216961;146403;134478;137917;223255;261569;223781;205714;192654;187129;155341;2732253
15 Pará;3997712;3856972;3699454;3535221;2159285;2120596;2217128;2577588;2121121;1986047;1736141;1772620;1922339;1605941;35308165
16 Amapá;326178;319122;354299;318085;200416;201291;235158;291264;317476;309878;195133;207205;223781;136605;3635891
17 Tocantins;647636;625972;629942;599042;393544;364498;419059;520696;500465;473930;408612;410564;430499;405325;6829784
21 Maranhão;3478280;3335303;3299816;3420909;1938353;1834049;2049197;2506954;2470155;1768910;1596896;1613975;1525893;1210112;32048802
22 Piauí;1409679;1340657;1344452;1274272;790815;767241;830563;929808;843986;766717;691420;721043;707044;647022;13064719
23 Ceará;3578539;3408148;3436035;3358407;1973183;1875068;2162076;3097412;3090798;2772563;2258857;2339327;2007863;1881461;37239737
24 Rio Grande do Norte;1211525;1169816;1208269;1176268;715550;700617;739553;976055;955413;715152;556120;672013;656411;590537;12043299
25 Paraíba;1612476;1554440;1576092;1547527;894610;815971;963126;1185760;1091866;933768;829275;874037;920580;725226;15524754
26 Pernambuco;3819635;3657438;3740084;3579686;2264640;2122509;2334099;3098012;3270650;2643965;2168658;2134687;2031792;1748481;38614336
27 Alagoas;1361961;1306284;1393230;1310661;736926;747338;840673;1124168;1114133;871125;814193;837011;767530;631138;13856371
28 Sergipe;905294;879278;873594;851030;530191;503959;600576;733179;714208;550085;486988;506148;486048;406652;9027230
29 Bahia;5877705;5676499;5812462;5651502;3319588;3222132;3568011;4552090;4326712;3231420;2807224;2759546;2804288;2577846;56187025
31 Minas Gerais;7274762;7066647;7223274;7414886;4334695;3998586;4784266;5908170;5849587;5192087;4260981;4539266;4243312;4171514;76262033
32 Espírito Santo;1342801;1312947;1327848;1318686;818355;783980;882253;1221179;1220295;1018857;859976;906757;870182;853606;14737722
33 Rio de Janeiro;5644703;5418391;5589928;5397199;3271147;3034612;3452853;4792974;4947569;4269415;3737730;3335398;2849756;2172250;57913925
35 São Paulo;14465201;14273089;14739743;14671666;9151228;8821199;10297960;13755784;13859265;10615615;9459351;9870064;9478261;8879814;162338240
41 Paraná;3938642;3806543;3934622;3911435;2415754;2330836;2728430;3393790;3425656;2978313;2650964;2670101;2722941;2534020;43442047
42 Santa Catarina;2082713;2073138;2135501;2158029;1322747;1277068;1467668;2047870;2066422;1789983;1524972;1663123;1696509;1648913;24954656
43 Rio Grande do Sul;3507487;3417420;3480942;3411391;1972214;1861452;2326594;2980144;2808159;2601252;2191862;2310376;2348252;2269584;37487129
50 Mato Grosso do Sul;987297;974861;1023854;993508;647692;639969;792827;1186794;1097563;937525;783989;836498;840905;674247;12417529
51 Mato Grosso;1263603;1225930;1232897;1151191;762483;754284;882673;1204418;1218562;1117107;897547;906135;928276;882286;14427392
52 Goiás;2428428;2322350;2351035;2274623;1515006;1375687;1637161;2068419;2012864;1808414;1498663;1539523;1466240;1423138;25721551
53 Distrito Federal;1035290;1000883;1002519;977874;582929;615304;858143;1000131;732494;1331740;694232;743681;732326;702299;12009845
Total;75177841;72922335;74411131;73202221;44640471;42720182;49110580;63842324;63025044;53191124;45232082;46271951;44888238;40622611;789258135
